x,y,z,vx,vy,vz,mass,radius
3745.401188473625,9507.143064099162,7319.939418114051,598.6584841970366,156.01864044243652,155.99452033620264,1522.7525095137953,8663.099696291603
6011.150117432088,7080.725777960455,205.84494295802446,969.9098521619943,832.4426408004217,212.33911067827614,2636.4247048639054,1842.211053435804
3042.4224295953773,5247.5643163223785,4319.450186421158,291.22914019804193,611.8528947223795,139.49386065204183,3629.3018368169633,3669.9548145039803
4560.699842170359,7851.759613930136,1996.7378215835975,514.2344384136117,592.4145688620424,46.45041271999772,6467.903667112945,1713.5359956360423
650.5159298527951,9488.855372533333,9656.320330745593,808.3973481164611,304.6137691733707,97.67211400638386,7158.097238609412,4407.123412458617
1220.3823484477882,4951.769101112702,343.88521115218396,909.3204020787821,258.7799816000169,662.522284353982,3805.3996848046986,5205.47953156633
5467.102793432797,1848.5445552552703,9695.846277645585,775.1328233611146,939.4989415641891,894.8273504276489,6381.099809299766,9219.523607880938
884.925020519195,1959.828624191452,452.27288910538067,325.3303307632643,388.677289689482,271.3490317738959,8458.637582367364,3573.965733668957
2809.3450968738075,5426.960831582484,1409.2422497476264,802.1969807540397,74.55064367977083,986.8869366005173,7950.202923669916,1995.1696585263824
55.22117123602399,8154.614284548342,7068.573438476171,729.0071680409873,771.2703466859457,74.04465173409037,4226.191556898453,1167.5319046560458
8631.034258755935,6232.981268275579,3308.980248526492,63.55835028602363,310.9823217156622,325.183322026747,7566.455605042576,6379.1991388385795
8872.127425763265,4722.149251619493,1195.942459383017,713.244787222995,760.7850486168975,561.2771975694963,7938.704619591049,4943.0180076802635
5227.328293819941,4275.410183585496,254.1912674409519,107.89142699330445,31.42918568673425,636.4104112637804,3829.20382968694,5090.621204735381
9075.66473926093,2492.9222914887496,4103.829230356298,755.5511385430486,228.79816549162246,76.979909828793,3607.7630762239123,1620.6006596675043
9296.97652342573,8081.20379564417,6334.037565104235,871.4605901877177,803.6720768991145,186.57005888603584,9033.0309864098,5398.028996737351
8074.401551640625,8960.912999234932,3180.034749718639,110.05192452767676,227.93516254194168,427.1077886262563,8362.132893302438,8608.69852673087
69.52130531190703,5107.473025775657,4174.11003148779,222.10781047073024,119.8653673336828,337.615171403628,9486.187335212673,3238.797290887345
5187.906217433661,7030.189588951778,3636.2960237929396,971.7820827209607,962.4472949421113,251.78229582536414,5475.236553031469,3015.7743150695287
2848.404943774676,368.86947354532793,6095.643339798969,502.67902322886147,51.47875124998935,278.64646423661145,9174.392973699883,2403.2232877630545
1448.948720912231,4894.52760277563,9856.504541106007,242.05527151150042,672.1355474058786,761.6196153287176,3138.737895931597,7284.881322632477
